2015-02-03 20:41:19,063 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\contest-ship1.plans.json
2015-02-03 20:41:19,078 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\contest-ship2.plans.json
2015-02-03 20:41:19,096 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\ship1.plans.json
2015-02-03 20:41:19,115 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\ship2.plans.json
2015-02-03 20:41:19,131 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\well1.plans.json
2015-02-03 20:41:19,141 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\well2.plans.json
2015-02-03 20:41:19,152 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\chest\well-chest1.plans.json
2015-02-03 20:41:19,204 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\forest\well-mycelium.plans.json
2015-02-03 20:41:19,215 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\birch-house.plans.json
2015-02-03 20:41:19,224 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\log-cabin.plans.json
2015-02-03 20:41:19,234 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\log-cabin2.plans.json
2015-02-03 20:41:19,248 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\townhouse1.plans.json
2015-02-03 20:41:22,871 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber1.plans.json
2015-02-03 20:41:23,106 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber2.plans.json
2015-02-03 20:41:23,167 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber3.plans.json
2015-02-03 20:41:23,219 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber4.plans.json
2015-02-03 20:41:23,273 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-diamond-mine.plans.json
2015-02-03 20:41:23,326 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-gold-mine.plans.json
2015-02-03 20:41:23,468 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-iron-mine.plans.json
2015-02-03 20:41:23,481 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\small-diamond-mine.plans.json
2015-02-03 20:41:23,494 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\small-emerald-mine.plans.json
2015-02-03 20:41:23,506 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\small-gold-mine.plans.json
2015-02-03 20:41:23,517 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\small-iron-mine.plans.json
2015-02-03 20:41:23,528 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\shallow\contest-ship1.plans.json
2015-02-03 20:41:23,703 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\shallow\dingy.plans.json
2015-02-03 20:41:23,737 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\contest-ship1.plans.json
2015-02-03 20:41:23,800 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\contest-ship2.plans.json
2015-02-03 20:41:23,845 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\ship1.plans.json
2015-02-03 20:41:23,886 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\ship2.plans.json
2015-02-03 20:41:23,922 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\well1.plans.json
2015-02-03 20:41:23,934 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\well2.plans.json
2015-02-03 20:41:23,948 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\chest\well-chest1.plans.json
2015-02-03 20:41:23,963 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\forest\well-mycelium.plans.json
2015-02-03 20:41:23,978 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\birch-house.plans.json
2015-02-03 20:41:23,995 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\log-cabin.plans.json
2015-02-03 20:41:24,009 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\log-cabin2.plans.json
2015-02-03 20:41:24,044 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\townhouse1.plans.json
2015-02-03 20:44:51,011 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber1.plans.json
